HybridID,BrNC_XBlock,NCBr_YBlock,BrRo_XBlock,RoBr_YBlock,BrBC_XBlock,BCBr_YBlock
5582,0.011884861,-0.007223564,0.011698372,-0.013923701,-0.008614514,-0.007729431
5583,0.013567966,-0.01862696,0.014532367,-0.011968641,-0.009621586,0.013963815
5584,0.006724424,0.020145316,0.007147975,0.018991664,-0.002935464,-0.009531157
5585,0.008644756,0.025074371,0.010174738,0.019712107,-0.000523583,-0.015756737
5586,0.010850543,0.013530782,0.011675553,0.009829181,-0.004601126,-0.008588652
5587,0.019909262,0.013260092,0.021462094,0.011005144,-0.012099513,-0.008215988
5588,-0.000716941,0.009503549,-0.00052046,0.005969342,0.004220564,-0.006110629
5589,0.00356648,-0.02344629,0.004118116,-0.024593409,0.000478925,0.00440405
5590,-0.007260049,-0.016791128,-0.006690621,-0.016457897,0.009854819,0.007464611
5591,-0.010767775,-0.006607197,-0.008106634,-0.005146187,0.018510251,0.005177283
5592,-0.004977671,-0.011612213,-0.005061071,-0.007866321,0.004897513,0.007355196
5593,0.002516728,-0.00950661,0.000841856,-0.006752601,-0.007948709,0.002717222
5594,0.009126043,-0.000273126,0.009690855,0.001796315,-0.005683512,0.000949852
5595,0.005284621,-0.021754788,0.007641209,-0.015834203,0.00645538,0.016296422
5596,0.026267524,-0.004175791,0.027444023,-0.000993043,-0.022446781,0.00489079
5597,0.013140871,0.00837013,0.020985103,0.016279919,0.011941803,0.014362384
5598,0.02618578,-0.014109374,0.030644952,-0.009048191,-0.010364396,0.011034395
5599,0.002961748,0.005511035,0.00528676,0.003611159,0.005626065,-0.005596328
5600,0.008672564,0.006197273,0.009911434,0.00347619,-0.002277057,-0.005905136
5601,0.023426977,0.002557882,0.026819291,0.002239248,-0.008364138,-0.003820502
5602,0.017606599,0.026850954,0.01884515,0.025187859,-0.010051714,-0.00627968
5603,0.014510339,-0.000988946,0.01630698,-0.001499534,-0.004513247,-0.000777384
5604,0.012514339,0.013710294,0.013360337,0.016067683,-0.006123807,-0.001011092
5605,0.012132653,0.014673294,0.017237404,0.009749285,0.005995247,-0.009833743
5606,0.010173848,0.011185533,0.007906311,0.005642506,-0.015203567,-0.008297151
5607,0.011854463,0.033651239,0.014171955,0.023664745,-0.000730185,-0.025624762
5608,0.015066518,0.025545339,0.018039518,0.026939191,-0.004746115,-0.008811509
5609,0.023070203,0.005792888,0.023202741,-0.003512718,-0.018882828,-0.015670642
5611,0.021617127,-0.018434888,0.025004608,-0.012820728,-0.00762626,0.011721559
5613,0.015232307,0.020253978,0.016431275,0.013522388,-0.008131699,-0.018551501
5614,0.007815953,0.009597735,0.006947414,0.001984693,-0.007654232,-0.012378791
5615,0.020376102,0.00980496,0.022288222,0.006923375,-0.011578261,-0.007832109
5616,0.016251083,0.0124481,0.020506639,0.005314054,0.003281977,-0.009448659
5617,0.011093493,0.016592818,0.012932928,0.016290786,-0.002836889,-0.004019408
5620,0.017588298,0.014788043,0.020657665,0.011724667,-0.004356267,-0.007113646
5621,0.020992477,0.020845924,0.022054112,0.016506483,-0.014109949,-0.014384235
5623,0.006375841,-0.023594076,0.00784664,-0.021938401,0.000138945,0.011549802
